Title,Abstract,StoreId,ArticleType,Authors,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
ATLAS BELITTLED BY SOVIET VISITOR: WOMAN ASTROPHYSICIST CALLS TALKING SATELLITE SMALL AND NOTHING NEW,A Russian astrophysicist said here yesterday that the Atlas satellite launched last week should really be compared with the first and smallest Sputnik.,114480625,Historical Newspapers,," Copyright New York Times Company Dec 28, 1958", article," Dec 28, 1958",0362-4331, English, English,," New York, N.Y.",28-Dec-58,New York Times (1923-Current file),1958,https://search.proquest.com/docview/114480625?accountid=14586, Q2,http://primo.lib.umn.edu/openurl/TWINCITIES/TWINCITIES_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=ATLAS+BELITTLED+BY+SOVIET+VISITOR%3A+WOMAN+ASTROPHYSICIST+CALLS+TALKING+SATELLITE+SMALL+AND+NOTHING+NEW&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1958-12-28&amp;volume=&amp;issue=&amp;spage=Q2&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times
DOCK MEN AGREE ON LABOR SAVER: I.L.A. AND EMPLOYERS REACH YEAR'S PACT TO ALLOW USE OF SOME CONTAINERS,Longshoremen and employers on the New York waterfront reached a temporary agreement yesterday in the controversy over using huge containers for handling ocean freight.,114488022,Historical Newspapers,By JACQUES NEVARD," Copyright New York Times Company Dec 18, 1958", article," Dec 18, 1958",0362-4331, English, English,," New York, N.Y.",18-Dec-58,New York Times (1923-Current file),1958,https://search.proquest.com/docview/114488022?accountid=14586, G2,http://primo.lib.umn.edu/openurl/TWINCITIES/TWINCITIES_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=DOCK+MEN+AGREE+ON+LABOR+SAVER%3A+I.L.A.+AND+EMPLOYERS+REACH+YEAR%27S+PACT+TO+ALLOW+USE+OF+SOME+CONTAINERS&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1958-12-18&amp;volume=&amp;issue=&amp;spage=G2&amp;au=By+JACQUES+NEVARD&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times
"$1,000,000 Computer System to Speed Macy's Bills","R. H. Macy &amp; Co., Inc., announced yesterday installation of what it called the biggest automation program in department store history.",114501529,Historical Newspapers,," Copyright New York Times Company Dec 10, 1958", article," Dec 10, 1958",0362-4331, English, English,," New York, N.Y.",10-Dec-58,New York Times (1923-Current file),1958,https://search.proquest.com/docview/114501529?accountid=14586,61,http://primo.lib.umn.edu/openurl/TWINCITIES/TWINCITIES_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=%241%2C000%2C000+Computer+System+to+Speed+Macy%27s+Bills&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1958-12-10&amp;volume=&amp;issue=&amp;spage=61&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times
TOP LABOR BODIES OF STATE MERGED: UNITS OF A. F. L. AND C. I. O. ADOPT NEW CONSTITUTION AT SEPARATE CONVENTIONS,Twenty-three years of separation ended yesterday for this state's two central labor bodies.,114499177,Historical Newspapers,By RALPH KATZ," Copyright New York Times Company Dec 9, 1958", article," Dec 9, 1958",0362-4331, English, English,," New York, N.Y.",9-Dec-58,New York Times (1923-Current file),1958,https://search.proquest.com/docview/114499177?accountid=14586,28,http://primo.lib.umn.edu/openurl/TWINCITIES/TWINCITIES_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=TOP+LABOR+BODIES+OF+STATE+MERGED%3A+UNITS+OF+A.+F.+L.+AND+C.+I.+O.+ADOPT+NEW+CONSTITUTION+AT+SEPARATE+CONVENTIONS&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1958-12-09&amp;volume=&amp;issue=&amp;spage=28&amp;au=By+RALPH+KATZ&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times
ELECTRIC EYE ERA: SYSTEMS OF AUTOMATIC LENS APERTURE SETTINGS EASE LIFE OF PHOTOGRAPHER,"ONCE merely a photographic light measuring device and exposure calculator (which essentially it still is, of course), the photoelectric cell has assumed within the last year or two the status of symbol, the rallying point for a host of new devices designed to promote automation and simplification in amateur picture-taking.",114505296,Historical Newspapers,By JACOB DESCHIN," Copyright New York Times Company Dec 7, 1958", article," Dec 7, 1958",0362-4331, English, English,," New York, N.Y.",7-Dec-58,New York Times (1923-Current file),1958,https://search.proquest.com/docview/114505296?accountid=14586, X25,http://primo.lib.umn.edu/openurl/TWINCITIES/TWINCITIES_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=ELECTRIC+EYE+ERA%3A+SYSTEMS+OF+AUTOMATIC+LENS+APERTURE+SETTINGS+EASE+LIFE+OF+PHOTOGRAPHER&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1958-12-07&amp;volume=&amp;issue=&amp;spage=X25&amp;au=By+JACOB+DESCHIN&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times
